created_at,id
2020-01-31,48467
2020-02-29,92872
2020-03-31,1437394
2020-04-30,1048371
2020-05-31,623523
2020-06-30,401399
2020-07-31,554412
2020-08-31,386049
2020-09-30,309900
2020-10-31,425053
2020-11-30,385953
2020-12-31,373789
2021-01-31,271287
2021-02-28,195128
2021-03-31,237752
2021-04-30,180289
2021-05-31,152085
2021-06-30,104846
2021-07-31,173451
2021-08-31,270405
2021-09-30,165816
2021-10-31,109902
2021-11-30,97577
2021-12-31,166600
2022-01-31,116668
2022-02-28,57702
2022-03-31,53955
2022-04-30,55399
2022-05-31,56532
2022-06-30,52350
2022-07-31,63484
2022-08-31,56984
2022-09-30,52081
2022-10-31,14913
