created_at,id
2019-12-22,150
2019-12-29,352
2020-01-05,210
2020-01-12,688
2020-01-19,3275
2020-01-26,1833
2020-02-02,1547
2020-02-09,1141
2020-02-16,1871
2020-02-23,7800
2020-03-01,17696
2020-03-08,61164
2020-03-15,91329
2020-03-22,70973
2020-03-29,64905
2020-04-05,59978
2020-04-12,50433
2020-04-19,47712
2020-04-26,41338
2020-05-03,38086
2020-05-10,33213
2020-05-17,29823
2020-05-24,23809
2020-05-31,24126
2020-06-07,17378
2020-06-14,18408
2020-06-21,18217
2020-06-28,20562
2020-07-05,18556
2020-07-12,17573
2020-07-19,15946
2020-07-26,12766
2020-08-02,11708
2020-08-09,11950
2020-08-16,12173
2020-08-23,11182
2020-08-30,10248
2020-09-06,8390
2020-09-13,7260
2020-09-20,6472
2020-09-27,6342
2020-10-04,5532
2020-10-11,6313
2020-10-18,4671
2020-10-25,4487
2020-11-01,4441
2020-11-08,5815
2020-11-15,5825
2020-11-22,4901
2020-11-29,4455
2020-12-06,4475
2020-12-13,4793
2020-12-20,6382
2020-12-27,5400
2021-01-03,6033
2021-01-10,4307
2021-01-17,3482
2021-01-24,3367
2021-01-31,2847
2021-02-07,3610
2021-02-14,3940
2021-02-21,4748
2021-02-28,3925
2021-03-07,5972
2021-03-14,6491
2021-03-21,8649
2021-03-28,17244
2021-04-04,24815
2021-04-11,37206
2021-04-18,38293
2021-04-25,35770
2021-05-02,34555
2021-05-09,27529
2021-05-16,24332
2021-05-23,19076
2021-05-30,15635
2021-06-06,9708
2021-06-13,9080
2021-06-20,8164
2021-06-27,6231
2021-07-04,6863
2021-07-11,6211
2021-07-18,5681
2021-07-25,5147
2021-08-01,4421
2021-08-08,3493
2021-08-15,4109
2021-08-22,3916
2021-08-29,3370
2021-09-05,3656
2021-09-12,3315
2021-09-19,2457
2021-09-26,2216
2021-10-03,1978
2021-10-10,4002
2021-10-17,2198
2021-10-24,2155
2021-10-31,2040
2021-11-07,2297
2021-11-14,2865
2021-11-21,3662
2021-11-28,2510
2021-12-05,2560
2021-12-12,3606
2021-12-19,5108
2021-12-26,7985
2022-01-02,6337
2022-01-09,4537
2022-01-16,3155
2022-01-23,2491
2022-01-30,2293
2022-02-06,1806
2022-02-13,1925
2022-02-20,1527
2022-02-27,1748
2022-03-06,1864
2022-03-13,1992
2022-03-20,1490
2022-03-27,1655
2022-04-03,1552
2022-04-10,1653
2022-04-17,1737
2022-04-24,1363
2022-05-01,1402
2022-05-08,1155
2022-05-15,1209
2022-05-22,1581
2022-05-29,1367
2022-06-05,1351
2022-06-12,1539
2022-06-19,1287
2022-06-26,1097
2022-07-03,1653
2022-07-10,1353
2022-07-17,1062
2022-07-24,892
2022-07-31,1614
2022-08-07,972
2022-08-14,931
2022-08-21,1112
2022-08-28,1035
2022-09-04,999
2022-09-11,1587
2022-09-18,862
2022-09-25,778
