created_at,id
2020-01-31,310
2020-02-29,1556
2020-03-31,11376
2020-04-30,7568
2020-05-31,4303
2020-06-30,1883
2020-07-31,2012
2020-08-31,1714
2020-09-30,1433
2020-10-31,2120
2020-11-30,1934
2020-12-31,1447
2021-01-31,1523
2021-02-28,1033
2021-03-31,1535
2021-04-30,1024
2021-05-31,907
2021-06-30,815
2021-07-31,1226
2021-08-31,1032
2021-09-30,863
2021-10-31,703
2021-11-30,752
2021-12-31,915
2022-01-31,806
2022-02-28,442
2022-03-31,406
2022-04-30,426
2022-05-31,414
2022-06-30,464
2022-07-31,546
2022-08-31,406
2022-09-30,433
2022-10-31,131
