created_at,id
2019-12-22,235
2019-12-29,396
2020-01-05,471
2020-01-12,1558
2020-01-19,2485
2020-01-26,1512
2020-02-02,1098
2020-02-09,1072
2020-02-16,3167
2020-02-23,5350
2020-03-01,25280
2020-03-08,43091
2020-03-15,35936
2020-03-22,28964
2020-03-29,23717
2020-04-05,21352
2020-04-12,17285
2020-04-19,15608
2020-04-26,13641
2020-05-03,12926
2020-05-10,12060
2020-05-17,10427
2020-05-24,7318
2020-05-31,7482
2020-06-07,8142
2020-06-14,8581
2020-06-21,8610
2020-06-28,9767
2020-07-05,9344
2020-07-12,8716
2020-07-19,8724
2020-07-26,8143
2020-08-02,7656
2020-08-09,7349
2020-08-16,6689
2020-08-23,7085
2020-08-30,7269
2020-09-06,7776
2020-09-13,7297
2020-09-20,9384
2020-09-27,9051
2020-10-04,6526
2020-10-11,7247
2020-10-18,8279
2020-10-25,6836
2020-11-01,9502
2020-11-08,10765
2020-11-15,10586
2020-11-22,8641
2020-11-29,9282
2020-12-06,8624
2020-12-13,7453
2020-12-20,8667
2020-12-27,8338
2021-01-03,8257
2021-01-10,6706
2021-01-17,7217
2021-01-24,6591
2021-01-31,6253
2021-02-07,5663
2021-02-14,5711
2021-02-21,6388
2021-02-28,6061
2021-03-07,6187
2021-03-14,5902
2021-03-21,8786
2021-03-28,9704
2021-04-04,10601
2021-04-11,10599
2021-04-18,8672
2021-04-25,8227
2021-05-02,7596
2021-05-09,6515
2021-05-16,5830
2021-05-23,4888
2021-05-30,4851
2021-06-06,5050
2021-06-13,4823
2021-06-20,4095
2021-06-27,4605
2021-07-04,4874
2021-07-11,4802
2021-07-18,5048
2021-07-25,5239
2021-08-01,6057
2021-08-08,5439
2021-08-15,6170
2021-08-22,6393
2021-08-29,4888
2021-09-05,5700
2021-09-12,4766
2021-09-19,4060
2021-09-26,3691
2021-10-03,3136
2021-10-10,3261
2021-10-17,2702
2021-10-24,2843
2021-10-31,2667
2021-11-07,2451
2021-11-14,2847
2021-11-21,3157
2021-11-28,3001
2021-12-05,5297
2021-12-12,5444
2021-12-19,6106
2021-12-26,5825
2022-01-02,3501
2022-01-09,3047
2022-01-16,3709
2022-01-23,3354
2022-01-30,3827
2022-02-06,2853
2022-02-13,1911
2022-02-20,2133
2022-02-27,2423
2022-03-06,2062
2022-03-13,2102
2022-03-20,1875
2022-03-27,2255
2022-04-03,2082
2022-04-10,2009
2022-04-17,1728
2022-04-24,1697
2022-05-01,1675
2022-05-08,1649
2022-05-15,1458
2022-05-22,1571
2022-05-29,1685
2022-06-05,1849
2022-06-12,1620
2022-06-19,1644
2022-06-26,1960
2022-07-03,2077
2022-07-10,2111
2022-07-17,1817
2022-07-24,1815
2022-07-31,1548
2022-08-07,1614
2022-08-14,1592
2022-08-21,1666
2022-08-28,1711
2022-09-04,1765
2022-09-11,1743
2022-09-18,1974
2022-09-25,1715
