created_at,id
2020-01-27,287
2020-02-03,389
2020-02-10,514
2020-02-17,1848
2020-02-24,2320
2020-03-02,1462
2020-03-09,1100
2020-03-16,1105
2020-03-23,3531
2020-03-30,6053
2020-04-06,30274
2020-04-13,42697
2020-04-20,34456
2020-04-27,28214
2020-05-04,22990
2020-05-11,20901
2020-05-18,17112
2020-05-25,15318
2020-06-01,13399
2020-06-08,12564
2020-06-15,12320
2020-06-22,9924
2020-06-29,7282
2020-07-06,7424
2020-07-13,8149
2020-07-20,8704
2020-07-27,8854
2020-08-03,9661
2020-08-10,9343
2020-08-17,8600
2020-08-24,8592
2020-08-31,8250
2020-09-07,7662
2020-09-14,7335
2020-09-21,6532
2020-09-28,6929
2020-10-05,7604
2020-10-12,7638
2020-10-19,7381
2020-10-26,9770
2020-11-02,8359
2020-11-09,6718
2020-11-16,7439
2020-11-23,8032
2020-11-30,7045
2020-12-07,9751
2020-12-14,10945
2020-12-21,10165
2020-12-28,8690
2021-01-04,9351
2021-01-11,8877
2021-01-18,6883
2021-01-25,8837
2021-02-01,8190
2021-02-08,8150
2021-02-15,6796
2021-02-22,7106
2021-03-01,6664
2021-03-08,6097
2021-03-15,5624
2021-03-22,5706
2021-03-29,6356
2021-04-05,6182
2021-04-12,6281
2021-04-19,5966
2021-04-26,9080
2021-05-03,9784
2021-05-10,10916
2021-05-17,10215
2021-05-24,8722
2021-05-31,7949
2021-06-07,7433
2021-06-14,6349
2021-06-21,5767
2021-06-28,4854
2021-07-05,4936
2021-07-12,4997
2021-07-19,4765
2021-07-26,4145
2021-08-02,4570
2021-08-09,4887
2021-08-16,4762
2021-08-23,5080
2021-08-30,5344
2021-09-06,6018
2021-09-13,5653
2021-09-20,6015
2021-09-27,6193
2021-10-04,5100
2021-10-11,5679
2021-10-18,4588
2021-10-25,4029
2021-11-01,3511
2021-11-08,3227
2021-11-15,3170
2021-11-22,2671
2021-11-29,2840
2021-12-06,2708
2021-12-13,2409
2021-12-20,2940
2021-12-27,3099
2022-01-03,3151
2022-01-10,5631
2022-01-17,5305
2022-01-24,6544
2022-01-31,5156
2022-02-07,3504
2022-02-14,3204
2022-02-21,3578
2022-02-28,3324
2022-03-07,3834
2022-03-14,2666
2022-03-21,1884
2022-03-28,2123
2022-04-04,2499
2022-04-11,2171
2022-04-18,1899
2022-04-25,1884
2022-05-02,2308
2022-05-09,2032
2022-05-16,2014
2022-05-23,1709
2022-05-30,1659
2022-06-06,1692
2022-06-13,1647
2022-06-20,1439
2022-06-27,1576
2022-07-04,1789
2022-07-11,1751
2022-07-18,1645
2022-07-25,1679
2022-08-01,1934
2022-08-08,2164
2022-08-15,2011
2022-08-22,1851
2022-08-29,1812
2022-09-05,1500
2022-09-12,1586
2022-09-19,1588
2022-09-26,1745
2022-10-03,1703
2022-10-10,1732
2022-10-17,1920
2022-10-24,1811
2022-10-31,1472
